cycle,price_wheat,price_rice,price_corn,price_water,price_labor,price_kernels,alive,deaths,gini_gold,total_money,avg_gold,max_gold,min_gold,avg_food,mean_capitalism,mean_survivalism,mean_sustainability,std_capitalism,std_survivalism,std_sustainability,unit_injected,unit_absorbed,unit_net,unit_processing,unit_kernels,bank_loaned,bank_interest_collected,bank_deposit_interest,landlords,bank_owned_land,foreclosures
365,26.994,3.867,15.022,4.075,2.032,177.241,100,0,0.7869,30680.31,30.49,331.77,-6.0,34.0,0.13,0.03,-0.029,0.22,0.155,0.133,121.14,0.0,121.14,1.2,5215,371.7,162.4,13403.85,79,415,415
366,28.482,3.664,15.408,3.919,1.889,187.822,100,0,0.7743,31042.65,28.88,353.59,-6.0,33.2,0.139,0.033,-0.037,0.213,0.146,0.13,368.03,195.17,172.86,3.5,5223,500.0,110.75,13543.81,80,416,416
367,30.784,3.456,15.681,3.68,2.096,199.913,100,0,0.7807,31489.02,29.25,398.99,-6.0,32.1,0.144,0.038,-0.041,0.209,0.137,0.123,151.0,0.0,151.0,1.4,5211,550.0,128.98,13684.41,79,416,416
368,31.013,3.446,15.311,3.422,1.909,210.0,100,0,0.7969,32273.43,33.7,458.16,-6.0,32.4,0.148,0.043,-0.044,0.213,0.136,0.116,362.26,1.3,360.96,3.3,5218,688.71,139.29,13825.21,80,419,419
369,33.512,3.209,15.2,3.276,2.118,202.336,100,0,0.8144,32017.54,26.75,345.37,-8.0,31.4,0.145,0.04,-0.047,0.219,0.136,0.113,257.23,231.0,26.23,2.4,5215,130.0,95.15,13970.59,80,420,420
370,31.741,3.113,15.981,3.209,2.105,210.0,100,0,0.8559,32884.79,28.04,478.85,-8.0,29.4,0.149,0.042,-0.049,0.212,0.138,0.117,383.04,0.3,382.74,3.6,5225,350.0,91.48,14114.69,80,421,421
371,32.178,3.102,16.864,3.085,2.054,210.0,100,0,0.8172,33243.79,28.57,433.41,-6.0,30.1,0.149,0.042,-0.05,0.204,0.137,0.114,78.3,0.0,78.3,0.7,5206,603.0,119.97,14260.44,79,421,421
372,32.748,3.025,15.236,3.065,2.073,210.0,100,0,0.8422,33950.72,34.73,785.03,-2.0,29.5,0.148,0.042,-0.054,0.201,0.127,0.115,401.37,231.0,170.37,3.4,5213,754.7,149.77,14404.51,79,425,425
373,32.148,3.331,15.895,3.103,2.092,210.0,100,0,0.8203,34722.6,38.78,769.06,-2.0,29.5,0.159,0.047,-0.055,0.208,0.135,0.141,245.28,0.5,244.78,2.3,5210,773.87,189.93,14552.87,79,426,426
374,33.475,3.304,16.859,3.028,1.967,210.0,100,0,0.8092,33508.48,31.8,753.08,-4.0,29.9,0.167,0.047,-0.052,0.206,0.135,0.144,77.88,463.0,-385.12,0.7,5189,77.54,175.03,14700.37,78,426,426
375,36.166,3.101,15.606,3.158,1.795,210.0,100,0,0.8136,33921.02,35.07,687.11,-4.0,29.2,0.167,0.049,-0.049,0.205,0.136,0.139,472.04,1.7,470.34,4.0,5203,290.0,124.57,14850.21,78,426,426
376,34.127,2.915,15.973,3.172,1.731,210.0,100,0,0.8286,33924.68,34.63,570.14,-3.91,30.2,0.159,0.047,-0.045,0.209,0.136,0.136,196.63,2.5,194.13,1.8,5195,300.71,108.02,15003.14,78,427,427
377,33.77,3.112,17.038,3.113,1.7,210.0,100,0,0.8199,34307.48,37.29,521.1,-3.91,29.5,0.161,0.043,-0.041,0.209,0.137,0.136,178.88,0.3,178.58,1.6,5185,330.0,126.1,15153.95,77,427,427
