cycle,price_wheat,price_rice,price_corn,price_water,price_labor,price_kernels,alive,deaths,gini_gold,total_money,avg_gold,max_gold,min_gold,avg_food,mean_capitalism,mean_survivalism,mean_sustainability,std_capitalism,std_survivalism,std_sustainability,unit_injected,unit_absorbed,unit_net,unit_processing,unit_kernels,bank_loaned,bank_interest_collected,bank_deposit_interest,landlords,bank_owned_land,foreclosures
1,3.578,7.216,5.479,1.944,3.0,9.223,100,0,0.5742,5609.23,38.89,259.0,0.0,141.8,0.158,0.223,0.045,0.494,0.384,0.52,1386.0,648.8,737.2,33.0,299,105.0,2.1,17.03,6,0,0
2,3.085,6.962,4.92,1.823,2.706,10.024,100,0,0.6198,7373.12,45.81,310.34,0.0,135.9,0.174,0.225,0.03,0.469,0.379,0.5,1725.76,290.05,1435.71,45.0,718,580.0,14.41,27.65,12,0,0
3,3.193,7.496,4.499,1.714,2.712,9.883,100,0,0.6399,8619.25,51.63,310.14,0.0,129.8,0.187,0.219,0.033,0.432,0.362,0.457,1229.51,55.7,1173.81,35.7,1066,465.0,23.68,34.23,23,0,0
4,3.193,6.935,4.467,1.747,2.718,10.822,100,0,0.5999,10257.08,58.85,323.73,0.0,122.8,0.191,0.218,0.026,0.405,0.352,0.424,1546.18,382.99,1163.19,49.1,1515,645.0,38.33,43.28,26,0,0
5,3.133,6.029,4.704,1.828,2.724,11.834,100,0,0.6433,10378.81,55.1,306.14,-4.0,120.0,0.182,0.218,0.036,0.399,0.345,0.414,556.59,637.8,-81.21,17.8,1632,375.0,42.41,48.21,29,0,0
6,3.22,6.028,4.552,1.97,2.996,12.632,100,0,0.5889,11632.23,57.78,475.91,0.0,116.0,0.183,0.22,0.028,0.387,0.336,0.385,1126.22,365.17,761.05,34.2,1937,810.0,63.1,57.97,36,0,0
7,3.341,5.357,4.718,2.092,2.996,12.204,100,0,0.6809,12654.9,59.73,602.21,-1.9,112.3,0.189,0.215,0.018,0.364,0.33,0.356,554.37,376.95,177.42,17.4,2074,1168.4,138.44,66.16,42,0,0
8,3.181,5.327,4.774,2.247,2.838,12.64,100,0,0.6538,12898.96,53.85,519.15,-2.0,109.5,0.191,0.206,0.015,0.353,0.312,0.338,601.16,418.05,183.11,18.2,2214,361.8,148.05,74.39,47,0,0
9,3.081,5.397,4.686,2.06,2.841,13.734,100,0,0.6441,13078.62,45.42,354.28,-2.0,107.7,0.194,0.209,0.005,0.342,0.306,0.31,431.12,570.15,-139.03,12.9,2291,572.3,158.31,84.52,48,0,0
10,3.219,5.235,4.601,2.208,2.844,13.53,100,0,0.6999,12996.89,38.71,418.97,-1.16,106.9,0.195,0.213,-0.004,0.327,0.295,0.296,144.32,531.13,-386.81,4.4,2289,515.0,154.43,90.35,49,0,0
11,3.008,4.861,5.095,2.088,2.847,14.442,100,0,0.7078,13564.41,35.69,310.37,-0.35,105.7,0.203,0.211,-0.012,0.31,0.284,0.284,367.21,298.16,69.05,11.4,2372,685.0,113.5,98.97,52,0,0
12,3.147,4.811,5.227,2.024,3.129,15.013,100,0,0.7122,14060.13,35.49,258.53,-2.35,104.3,0.193,0.209,-0.017,0.299,0.28,0.275,224.66,303.24,-78.58,6.3,2404,785.0,137.23,104.07,54,0,0
13,2.97,4.624,4.963,2.142,3.433,14.215,100,0,0.6978,14520.17,34.98,329.07,-2.35,102.0,0.192,0.206,-0.017,0.297,0.278,0.265,168.31,214.68,-46.37,4.6,2425,865.0,162.14,109.13,60,0,0
14,2.886,5.318,5.106,2.384,3.761,14.709,100,0,0.7576,15830.92,43.25,492.18,-2.35,101.1,0.174,0.198,-0.019,0.288,0.259,0.26,52.11,31.78,20.33,1.5,2426,1566.92,214.45,113.92,63,0,0
15,2.769,5.966,5.447,2.189,3.197,12.695,100,0,0.8278,15913.6,37.09,550.03,-4.0,99.3,0.171,0.197,-0.022,0.273,0.246,0.249,110.79,340.18,-229.39,3.1,2424,590.0,197.29,120.84,64,0,0
16,2.835,5.071,5.141,2.105,3.562,13.057,100,0,0.7674,16615.38,38.84,346.99,-3.67,98.1,0.171,0.198,-0.031,0.261,0.24,0.235,76.27,182.84,-106.57,2.0,2419,948.02,212.73,126.06,64,0,0
17,2.553,5.133,5.347,2.234,3.9,13.817,100,0,0.7585,17151.05,43.11,327.84,-4.0,97.5,0.166,0.198,-0.031,0.255,0.236,0.227,71.98,359.07,-287.09,2.0,2402,1109.91,246.55,127.13,65,0,0
18,2.531,5.056,5.332,2.092,3.5,14.392,100,0,0.7882,17232.52,36.42,562.91,-4.0,95.6,0.157,0.197,-0.034,0.244,0.235,0.226,56.13,517.67,-461.54,1.5,2372,765.0,253.65,134.56,65,0,0
19,2.793,4.755,5.503,2.079,3.833,15.521,100,0,0.8392,17958.47,35.47,687.87,-4.0,94.6,0.151,0.197,-0.038,0.239,0.227,0.216,134.34,443.27,-308.93,3.6,2369,1220.0,277.76,142.69,61,1,1
20,2.374,4.868,6.213,1.89,4.192,15.128,100,0,0.8171,19102.28,41.43,1141.23,-4.0,93.2,0.14,0.19,-0.042,0.226,0.219,0.207,154.08,256.7,-102.62,4.0,2383,1458.07,274.03,148.11,62,1,1
21,2.73,4.859,5.94,2.056,4.462,14.807,100,0,0.8194,19668.8,36.74,1102.29,-3.06,91.2,0.13,0.186,-0.043,0.225,0.215,0.197,156.57,383.04,-226.47,3.6,2385,1098.66,281.56,158.37,64,2,2
22,2.718,5.082,6.225,2.165,4.87,14.685,100,0,0.8148,20538.21,39.27,1007.16,-3.06,90.8,0.122,0.187,-0.045,0.22,0.209,0.186,103.95,1.2,102.75,2.5,2398,1080.03,312.77,164.46,67,2,2
23,2.586,5.242,5.968,2.303,4.355,15.672,100,0,0.8023,20747.4,33.43,860.52,-4.0,90.5,0.099,0.184,-0.044,0.214,0.198,0.189,200.43,500.77,-300.34,4.6,2401,693.53,247.17,172.32,68,2,2
24,2.441,5.314,5.648,2.317,4.755,14.677,100,0,0.8165,21182.05,31.08,813.88,-3.06,88.1,0.112,0.186,-0.052,0.205,0.198,0.188,146.23,86.5,59.73,3.5,2419,780.0,284.41,178.95,68,4,4
25,2.807,4.93,5.751,2.44,4.875,15.555,100,0,0.7832,22115.95,26.72,359.79,-3.26,86.6,0.115,0.18,-0.056,0.199,0.187,0.181,126.54,96.87,29.67,3.2,2433,1085.04,236.63,192.52,68,4,4
26,2.687,4.978,5.693,2.344,5.124,15.639,100,0,0.7813,22350.43,25.37,256.82,-4.0,83.7,0.11,0.182,-0.055,0.195,0.18,0.172,96.62,85.96,10.66,2.4,2440,473.75,236.64,196.17,70,5,5
27,2.929,5.221,6.257,2.366,4.843,15.183,100,0,0.7929,22560.74,23.87,272.6,-4.0,83.3,0.111,0.182,-0.05,0.196,0.175,0.169,51.81,120.41,-68.6,1.3,2434,331.72,168.36,199.74,69,6,6
28,2.97,5.186,5.972,2.454,4.18,13.902,100,0,0.7942,22631.7,19.3,259.93,-4.0,81.9,0.089,0.179,-0.046,0.199,0.169,0.163,100.74,350.72,-249.98,2.3,2424,411.57,158.91,204.96,71,10,10
29,3.282,5.213,5.759,2.113,4.32,14.486,100,0,0.8163,23408.86,21.25,258.44,-4.0,80.3,0.088,0.178,-0.045,0.202,0.169,0.166,112.86,91.75,21.11,2.7,2433,753.54,179.23,210.73,69,10,10
30,3.475,5.081,6.005,2.314,4.717,14.35,100,0,0.8384,23108.56,23.22,296.49,-4.0,80.0,0.088,0.177,-0.04,0.199,0.163,0.159,124.95,175.79,-50.84,3.1,2441,416.63,222.24,210.98,69,12,12
31,3.666,5.212,6.448,2.377,4.775,14.565,100,0,0.8287,23462.93,27.56,336.79,-2.0,78.7,0.094,0.179,-0.044,0.202,0.157,0.156,0.0,173.64,-173.64,0.0,2418,629.4,205.5,210.25,66,12,12
32,3.745,5.168,6.222,2.096,4.678,13.478,100,0,0.8009,23799.28,24.72,318.36,-2.0,78.7,0.085,0.175,-0.046,0.208,0.157,0.146,49.65,176.33,-126.68,1.1,2406,608.77,260.46,216.44,64,12,12
33,3.934,5.128,5.399,2.093,4.679,13.361,100,0,0.7702,24365.34,29.03,287.2,-2.0,75.6,0.083,0.172,-0.047,0.212,0.157,0.136,82.75,29.65,53.1,1.9,2411,690.0,278.35,217.82,65,14,14
34,3.717,4.553,5.813,2.176,4.737,13.763,100,0,0.7751,24237.25,27.31,212.32,-3.21,76.0,0.078,0.171,-0.054,0.207,0.156,0.128,128.48,573.39,-444.91,3.4,2394,580.0,239.07,218.31,69,16,16
35,4.087,4.698,6.185,2.17,4.585,14.471,100,0,0.7309,24744.09,28.94,286.52,-3.21,75.0,0.084,0.17,-0.056,0.206,0.153,0.123,89.51,272.5,-182.99,2.2,2387,919.42,290.81,221.78,71,18,18
36,3.954,4.588,6.209,2.153,4.104,14.507,100,0,0.7374,25010.38,22.55,171.72,-2.0,73.0,0.09,0.173,-0.056,0.202,0.149,0.123,233.76,254.69,-20.93,5.4,2413,385.0,188.08,230.79,70,20,20
37,4.342,4.568,6.205,2.156,4.137,14.056,100,0,0.7621,25298.6,20.35,173.07,-2.0,72.6,0.086,0.173,-0.054,0.201,0.145,0.121,95.6,95.75,-0.15,2.2,2417,405.0,198.1,235.88,72,21,21
38,4.7,4.62,6.04,2.115,4.393,14.562,100,0,0.8328,25930.99,19.87,263.17,-2.0,70.3,0.073,0.168,-0.056,0.195,0.144,0.12,82.5,139.16,-56.66,1.9,2415,703.88,151.49,242.68,72,23,23
39,5.147,4.797,6.507,2.202,4.53,14.705,100,0,0.8575,26202.67,22.69,411.13,-4.0,69.2,0.065,0.166,-0.059,0.183,0.138,0.123,21.14,256.69,-235.55,0.5,2392,517.13,178.36,242.62,69,24,24
40,5.376,4.696,6.42,2.225,4.554,13.961,100,0,0.7989,26906.72,23.78,214.73,-4.0,66.6,0.057,0.16,-0.053,0.184,0.13,0.123,127.52,162.46,-34.94,2.8,2398,775.52,216.38,248.58,69,28,28
41,4.822,4.376,5.457,2.012,4.374,14.386,100,0,0.8255,26853.9,22.55,236.39,-4.0,66.4,0.054,0.158,-0.057,0.188,0.127,0.125,26.96,460.7,-433.74,0.6,2363,326.08,163.71,249.33,67,31,31
42,4.844,4.587,5.824,2.048,3.951,14.265,100,0,0.7953,27300.11,24.17,277.11,-4.0,64.8,0.055,0.153,-0.05,0.19,0.126,0.12,34.38,31.64,2.74,0.9,2359,514.28,215.36,252.19,67,32,32
43,4.502,4.94,6.317,2.107,3.917,14.806,100,0,0.788,28045.11,29.33,292.15,-4.0,62.8,0.062,0.154,-0.051,0.182,0.122,0.122,126.39,62.86,63.53,3.1,2375,748.14,184.37,254.52,69,32,32
44,4.306,4.761,6.457,1.908,3.515,15.119,100,0,0.7961,28255.33,26.37,270.54,-4.0,62.7,0.055,0.15,-0.044,0.188,0.122,0.114,70.75,260.7,-189.95,1.6,2364,775.79,201.94,261.94,70,33,33
45,4.481,4.61,6.123,2.104,3.849,13.909,100,0,0.8358,28657.0,25.5,269.28,-4.0,62.1,0.046,0.146,-0.05,0.197,0.12,0.108,140.12,99.98,40.14,3.1,2378,473.0,210.23,266.87,67,34,34
46,4.911,4.879,6.314,2.242,3.825,11.94,100,0,0.8491,28665.19,23.65,258.79,-6.0,62.4,0.043,0.145,-0.049,0.199,0.116,0.109,60.01,290.7,-230.69,1.4,2362,500.0,131.79,272.1,67,34,34
47,5.374,4.68,6.865,1.942,3.996,12.882,100,0,0.8271,28151.72,27.97,305.43,-6.0,61.6,0.045,0.15,-0.048,0.201,0.116,0.107,159.12,65.67,93.45,3.6,2382,754.72,210.3,275.75,65,35,35
48,5.241,5.027,7.015,1.942,4.172,13.728,100,0,0.8316,28872.14,22.59,294.61,-4.0,60.0,0.044,0.146,-0.056,0.198,0.114,0.11,168.15,0.0,168.15,3.5,2405,590.22,237.57,288.45,63,38,38
49,5.73,5.303,7.158,1.807,3.944,14.41,100,0,0.8205,28848.46,16.28,233.8,-4.0,58.3,0.044,0.142,-0.054,0.189,0.109,0.113,49.1,196.52,-147.42,1.0,2390,190.0,139.32,294.72,63,38,38
50,6.257,5.136,7.644,2.078,4.054,15.637,100,0,0.8633,28384.42,18.54,344.0,-6.0,56.8,0.047,0.136,-0.049,0.202,0.128,0.115,30.06,95.11,-65.05,0.6,2379,345.0,120.06,295.04,62,40,40
51,6.825,4.869,6.601,2.092,3.636,16.386,100,0,0.8171,27819.95,16.22,230.16,-6.0,58.8,0.041,0.133,-0.047,0.196,0.126,0.121,139.11,310.02,-170.91,2.6,2376,350.72,131.62,300.28,62,42,42
52,6.923,4.139,7.059,2.091,3.505,15.988,100,0,0.7943,27260.81,14.82,163.71,-6.0,58.7,0.043,0.131,-0.037,0.238,0.151,0.134,97.04,0.0,97.04,2.1,2386,315.01,172.73,306.55,60,42,42
53,7.175,4.249,6.341,2.206,3.151,14.609,100,0,0.828,27436.01,15.32,236.04,-6.0,58.3,0.037,0.131,-0.033,0.227,0.145,0.143,24.7,263.91,-239.21,0.5,2365,674.6,105.69,311.84,60,43,43
54,7.181,4.165,6.685,2.269,3.21,13.863,100,0,0.8451,27859.81,14.77,166.41,-6.0,57.0,0.041,0.129,-0.03,0.209,0.145,0.143,150.93,32.44,118.49,3.4,2386,315.0,122.61,317.14,59,46,46
55,7.24,4.212,6.684,2.399,3.363,14.001,100,0,0.8233,27460.02,13.7,156.0,-6.0,56.1,0.044,0.123,-0.023,0.217,0.157,0.147,74.87,289.74,-214.87,1.6,2372,344.69,173.01,320.59,57,47,47
56,7.412,4.255,6.879,2.48,3.685,13.626,100,0,0.8099,27493.59,11.11,150.0,-4.0,56.0,0.046,0.12,-0.022,0.222,0.155,0.147,51.47,354.73,-303.26,1.1,2349,400.0,125.86,325.58,57,50,50
57,8.074,4.062,7.294,2.573,3.832,14.679,100,0,0.801,27395.58,13.64,138.43,-4.0,55.9,0.027,0.124,-0.026,0.219,0.146,0.148,163.72,14.99,148.73,3.4,2371,412.0,90.98,329.98,58,53,53
58,8.603,3.905,6.766,2.517,3.781,14.0,100,0,0.8693,27966.44,13.61,371.99,-5.56,54.5,0.037,0.124,-0.029,0.21,0.146,0.148,158.29,32.89,125.4,3.1,2388,372.76,76.46,336.38,58,55,55
59,8.211,3.986,7.646,2.534,3.814,14.467,100,0,0.8378,27530.77,16.49,514.16,-5.56,55.2,0.038,0.119,-0.034,0.217,0.143,0.144,52.09,16.4,35.69,1.1,2387,505.0,77.9,340.36,57,56,56
60,7.427,3.914,6.66,2.676,3.443,13.041,100,0,0.8662,27411.82,16.62,447.34,-5.56,54.8,0.048,0.11,-0.041,0.204,0.152,0.14,85.63,128.8,-43.17,1.6,2384,299.98,96.85,344.59,56,57,57
61,8.541,4.202,7.082,2.878,3.502,12.318,100,0,0.8282,26704.17,15.09,283.56,-5.56,55.6,0.059,0.106,-0.046,0.203,0.163,0.136,177.15,345.09,-167.94,3.8,2387,314.14,137.38,350.38,53,61,61
62,9.187,3.99,6.391,2.547,3.454,12.895,100,0,0.7929,27148.37,18.41,455.66,-5.56,55.6,0.059,0.109,-0.045,0.198,0.16,0.131,34.69,163.5,-128.81,0.7,2371,750.0,108.91,355.01,53,62,62
63,9.096,3.98,6.117,2.665,3.297,12.878,100,0,0.8909,28169.65,21.26,906.55,-5.56,54.8,0.058,0.106,-0.043,0.2,0.157,0.126,107.37,29.26,78.11,2.4,2382,933.39,130.29,363.35,54,65,65
64,9.604,4.085,6.668,2.521,3.262,13.214,100,0,0.9192,28836.77,30.59,1819.08,-5.56,53.9,0.061,0.101,-0.041,0.195,0.168,0.126,175.57,28.33,147.24,4.1,2409,1302.38,163.59,369.56,55,68,68
65,9.955,4.109,6.535,2.395,3.215,14.179,100,0,0.9477,30779.64,51.38,4116.08,-5.56,54.1,0.068,0.087,-0.04,0.201,0.174,0.12,144.71,305.24,-160.53,3.1,2407,2836.02,295.88,376.31,54,68,68
66,10.312,4.23,6.911,2.504,3.211,14.019,100,0,0.9436,33437.81,85.58,7072.11,-4.0,57.0,0.074,0.066,-0.039,0.213,0.194,0.12,150.95,1653.29,-1502.34,3.3,2323,5706.09,607.98,380.88,56,69,69
67,11.142,4.478,7.318,2.684,3.177,14.149,100,0,0.9643,38525.49,131.92,11609.12,-4.0,55.1,0.076,0.068,-0.039,0.213,0.194,0.121,101.6,46.76,54.84,2.1,2330,5442.51,564.13,386.72,56,71,71
68,12.091,4.464,8.268,2.761,3.208,15.421,100,0,0.9449,36271.69,104.42,8589.73,-6.0,58.7,0.077,0.055,-0.046,0.216,0.203,0.123,199.81,1618.64,-1418.83,3.9,2254,302.9,551.89,400.37,59,73,73
69,11.448,4.507,7.798,2.685,2.908,14.644,100,0,0.9397,35727.68,95.99,7626.73,-6.0,58.4,0.092,0.049,-0.049,0.205,0.207,0.117,248.88,153.66,95.22,4.3,2277,540.0,537.13,411.28,61,75,75
70,10.557,4.493,7.348,2.538,3.177,15.701,100,0,0.9107,35840.71,87.78,6163.74,-6.0,58.7,0.09,0.049,-0.05,0.193,0.199,0.116,371.21,418.81,-47.6,6.8,2308,674.26,568.72,423.21,63,78,78
71,10.168,4.368,7.349,2.385,3.439,15.5,100,0,0.9019,35768.0,84.69,5560.75,-6.0,57.0,0.092,0.051,-0.051,0.196,0.199,0.115,354.94,277.23,77.71,6.9,2350,321.22,566.06,427.1,65,79,79
72,10.984,4.343,7.131,2.495,3.43,14.514,100,0,0.898,35848.11,77.87,5097.75,-2.0,56.3,0.076,0.059,-0.049,0.196,0.194,0.113,344.65,221.65,123.0,6.7,2392,445.0,550.32,436.86,68,79,79
73,11.682,4.409,6.566,2.52,3.085,13.649,100,0,0.8285,35610.31,40.89,1634.76,-2.0,55.0,0.066,0.06,-0.044,0.191,0.194,0.114,144.77,670.52,-525.75,2.9,2368,680.0,589.95,472.71,69,80,80
74,12.673,4.156,6.654,2.391,3.265,12.379,100,0,0.746,35599.82,21.17,171.77,-2.0,52.9,0.059,0.059,-0.044,0.185,0.193,0.11,225.2,255.24,-30.04,4.9,2388,527.27,597.08,493.74,73,81,81
75,13.387,4.323,7.539,2.527,3.475,11.433,100,0,0.8293,35263.1,15.62,222.43,-2.0,53.5,0.056,0.056,-0.043,0.186,0.192,0.112,79.19,259.13,-179.94,1.7,2375,225.0,104.57,501.99,75,81,81
76,11.379,4.477,6.408,2.59,3.534,12.097,100,0,0.8018,35676.12,18.33,212.71,-3.87,52.3,0.056,0.061,-0.031,0.199,0.196,0.134,137.2,125.76,11.44,2.6,2380,521.99,88.06,508.45,73,82,82
77,9.672,4.505,6.231,2.617,3.474,13.209,100,0,0.855,35745.54,21.66,642.94,-3.87,53.6,0.059,0.071,-0.033,0.197,0.191,0.133,67.29,80.74,-13.45,1.5,2378,165.0,105.93,509.97,73,82,82
78,9.369,4.556,5.948,2.424,3.124,12.967,100,0,0.8396,35457.89,20.16,739.53,-4.0,53.3,0.066,0.072,-0.035,0.215,0.198,0.135,91.6,145.3,-53.7,2.1,2378,368.64,95.04,518.12,75,85,85
79,8.767,4.428,5.994,2.196,2.815,12.883,100,0,0.9008,35971.05,17.55,686.11,-4.0,48.4,0.072,0.072,-0.033,0.214,0.193,0.135,129.08,57.55,71.53,3.1,2393,274.15,93.43,527.66,73,85,85
80,8.672,4.346,6.105,2.328,2.681,12.553,100,0,0.8843,36682.32,20.97,679.9,-4.0,47.2,0.073,0.074,-0.035,0.214,0.189,0.133,79.72,86.02,-6.3,1.9,2394,490.0,86.98,533.2,70,86,86
81,8.577,4.158,6.537,2.208,2.95,12.321,100,0,0.8945,36623.85,17.24,576.49,-4.0,48.5,0.075,0.077,-0.034,0.209,0.187,0.13,119.67,331.4,-211.73,2.8,2387,208.35,66.88,540.98,69,86,86
82,9.376,4.297,5.959,2.284,3.24,12.243,100,0,0.8562,37183.76,17.17,473.07,-4.0,47.1,0.078,0.077,-0.035,0.207,0.184,0.133,41.19,0.0,41.19,0.9,2385,336.27,97.81,548.55,69,86,86
83,9.992,4.003,5.192,2.376,3.403,11.433,100,0,0.8392,37511.4,17.73,436.86,-4.0,47.0,0.08,0.075,-0.037,0.209,0.186,0.13,171.03,54.17,116.86,4.1,2410,271.8,96.88,556.37,66,87,87
84,10.247,4.155,5.701,2.356,3.728,11.658,100,0,0.8064,36842.17,20.14,433.15,-4.0,47.8,0.078,0.077,-0.033,0.21,0.182,0.154,90.85,38.03,52.82,2.5,2420,469.4,124.64,563.27,65,88,88
85,10.093,4.057,5.791,2.191,3.713,12.38,100,0,0.8308,29356.65,23.84,532.31,-4.0,47.6,0.07,0.077,-0.024,0.208,0.176,0.154,163.62,39.27,124.35,4.1,2446,493.38,89.1,570.39,63,90,90
86,10.358,3.973,6.063,2.315,4.063,12.609,100,0,0.8298,30028.3,24.61,509.81,-2.0,46.5,0.07,0.08,-0.032,0.211,0.169,0.147,178.37,150.01,28.36,4.4,2467,669.22,124.23,579.31,64,91,91
87,9.045,4.068,5.96,2.555,4.18,13.521,100,0,0.8549,30027.98,22.42,507.32,-3.75,46.3,0.074,0.083,-0.034,0.206,0.162,0.147,33.94,55.48,-21.54,0.8,2459,80.0,88.55,586.2,65,91,91
88,9.015,4.487,6.287,2.617,4.566,13.26,100,0,0.8463,29455.62,18.91,454.83,-4.0,47.8,0.074,0.077,-0.033,0.215,0.171,0.191,116.82,223.1,-106.28,2.8,2460,320.0,93.65,596.77,64,93,93
89,9.398,4.564,6.319,2.434,4.535,13.994,100,0,0.8323,28207.68,17.92,402.33,-4.0,47.7,0.055,0.082,-0.034,0.225,0.175,0.188,154.02,218.8,-64.78,3.5,2468,243.64,83.79,604.56,60,96,96
90,10.035,4.042,7.004,2.493,4.375,13.261,100,0,0.7964,29012.6,18.53,379.84,-4.0,47.4,0.051,0.078,-0.041,0.223,0.172,0.176,260.97,15.39,245.58,5.9,2514,420.0,74.61,615.58,59,98,98
91,10.295,4.12,7.272,2.544,4.433,13.721,100,0,0.814,26664.58,18.53,246.35,-4.0,48.2,0.051,0.074,-0.039,0.223,0.168,0.167,4.9,44.27,-39.37,0.1,2500,420.0,84.28,624.32,60,99,99
92,10.645,4.6,7.415,2.759,4.665,14.418,100,0,0.8257,26748.63,17.26,228.81,-4.0,46.8,0.048,0.076,-0.04,0.213,0.163,0.155,412.29,318.05,94.24,8.1,2548,302.39,95.98,634.06,60,102,102
93,11.245,4.242,8.113,2.583,4.428,15.089,100,0,0.8564,27262.11,35.61,959.72,-6.0,46.0,0.043,0.078,-0.046,0.208,0.157,0.156,129.77,1.0,128.77,2.5,2561,542.51,139.15,626.69,59,103,103
94,10.216,4.176,7.659,2.683,4.079,13.524,100,0,0.8507,27913.09,46.35,850.72,-6.0,46.0,0.043,0.079,-0.045,0.209,0.154,0.159,130.63,132.79,-2.16,2.3,2564,667.76,144.52,626.42,60,105,105
95,9.625,4.274,7.961,2.396,4.057,13.205,100,0,0.8695,27320.78,40.45,879.25,-6.0,47.1,0.039,0.079,-0.05,0.199,0.154,0.158,53.61,401.95,-348.34,1.0,2535,500.0,155.66,636.97,63,107,107
96,9.142,4.401,8.406,2.463,4.221,13.281,100,0,0.8694,28347.28,45.66,1389.49,-4.0,45.6,0.046,0.08,-0.044,0.196,0.152,0.155,128.18,305.55,-177.37,2.3,2525,1247.54,196.12,646.04,64,107,107
97,9.534,4.245,9.047,2.484,4.162,12.695,100,0,0.89,28184.05,52.76,2298.3,-4.0,45.8,0.055,0.085,-0.036,0.191,0.151,0.145,147.11,131.99,15.12,2.5,2529,1195.0,198.28,655.05,64,108,108
98,10.722,4.084,8.57,2.324,4.398,13.001,100,0,0.8709,27585.43,48.84,2207.12,-4.0,45.3,0.061,0.088,-0.036,0.185,0.152,0.143,44.33,168.08,-123.75,0.7,2512,310.59,218.37,664.68,64,113,113
99,11.172,4.313,8.363,2.171,4.629,12.989,100,0,0.8984,29048.21,60.57,3632.51,-3.33,45.6,0.066,0.096,-0.036,0.196,0.164,0.143,263.95,28.6,235.35,4.4,2542,1580.0,222.46,674.5,66,114,114
100,11.912,3.984,9.055,2.25,4.555,13.413,100,0,0.8514,27871.47,28.53,1071.47,-3.33,45.8,0.063,0.094,-0.036,0.201,0.161,0.141,193.19,1428.8,-1235.61,3.3,2463,136.94,211.17,699.04,65,114,114
101,10.674,3.87,10.264,2.301,4.747,13.37,100,0,0.8511,27896.12,26.34,828.21,-3.88,43.5,0.056,0.095,-0.033,0.193,0.156,0.143,139.44,191.79,-52.35,2.2,2460,151.65,195.43,705.97,67,115,115
102,10.658,3.805,10.059,2.231,5.177,14.353,100,0,0.8627,28039.03,19.13,677.71,-3.88,42.9,0.058,0.095,-0.035,0.195,0.154,0.144,143.69,207.0,-63.31,2.0,2454,253.2,180.82,719.08,68,117,117
103,9.993,3.98,8.55,2.383,5.641,13.84,100,0,0.8273,28217.17,9.05,122.94,-3.88,41.6,0.054,0.093,-0.037,0.191,0.146,0.146,119.69,299.97,-180.28,1.7,2440,227.05,53.95,735.43,68,117,117
104,10.778,4.031,9.141,2.322,5.848,13.29,100,0,0.8062,28657.1,9.47,169.24,-3.88,40.8,0.055,0.092,-0.035,0.188,0.146,0.144,83.8,31.35,52.45,1.4,2440,227.93,55.81,744.02,65,118,118
105,11.51,4.105,9.782,2.339,5.218,13.527,100,0,0.8263,29178.62,16.36,393.83,-3.88,42.0,0.037,0.099,-0.035,0.187,0.14,0.14,57.59,175.43,-117.84,0.9,2425,715.88,88.77,749.45,63,118,118
106,11.234,4.181,10.321,2.511,4.662,13.242,100,0,0.8083,28872.97,18.57,378.66,-3.88,43.2,0.034,0.099,-0.037,0.182,0.141,0.139,41.08,30.06,11.02,0.6,2417,490.0,93.19,757.61,65,118,118
107,11.706,4.268,9.638,2.334,4.282,13.592,100,0,0.8251,29428.92,16.87,190.4,-5.33,41.0,0.022,0.097,-0.039,0.17,0.138,0.132,281.77,72.83,208.94,3.9,2439,205.0,79.84,769.7,64,118,118
108,10.286,4.133,10.4,2.207,4.396,13.409,100,0,0.8511,29619.55,16.37,532.83,-5.33,39.9,0.019,0.096,-0.036,0.173,0.138,0.133,215.9,343.87,-127.97,3.2,2436,185.0,63.71,777.03,64,118,118
109,10.935,4.08,10.861,2.289,4.468,13.156,100,0,0.8043,29465.76,18.57,182.88,-5.33,40.5,0.022,0.097,-0.029,0.175,0.133,0.132,495.04,221.25,273.79,6.8,2477,470.0,71.45,788.4,64,120,120
110,11.868,3.892,11.6,2.323,4.125,13.481,100,0,0.8495,29189.73,12.59,168.0,-5.33,40.6,0.024,0.094,-0.026,0.178,0.133,0.134,114.04,173.66,-59.62,1.5,2468,40.0,49.64,797.97,70,120,120
111,12.292,4.304,9.86,2.418,4.16,13.723,100,0,0.8852,28865.77,38.28,1631.38,-5.33,42.0,0.029,0.087,-0.014,0.198,0.166,0.139,406.0,88.98,317.02,5.0,2500,204.6,214.41,783.4,69,120,120
112,12.126,4.415,9.458,2.345,3.913,14.137,100,0,0.8773,28865.93,33.81,1460.75,-5.33,41.8,0.028,0.088,-0.012,0.195,0.164,0.145,220.86,211.85,9.01,3.2,2506,365.0,237.81,797.08,69,121,121
113,12.559,4.171,9.726,2.404,4.339,14.049,100,0,0.7975,29323.5,24.13,290.12,-2.0,41.9,0.017,0.078,-0.019,0.217,0.189,0.153,112.56,93.6,18.96,1.7,2505,605.0,273.48,817.04,70,124,124
114,11.739,4.01,9.288,2.177,4.437,13.521,100,0,0.7608,28572.13,17.96,151.76,-3.87,41.7,0.016,0.078,-0.027,0.217,0.189,0.153,149.78,278.17,-128.39,2.2,2497,445.22,298.98,829.39,73,126,126
115,11.968,3.921,9.763,2.455,4.135,13.366,100,0,0.7404,26825.46,18.36,154.14,-2.0,42.8,0.021,0.089,-0.027,0.213,0.183,0.147,136.53,119.28,17.25,2.1,2498,345.0,135.45,839.82,72,127,127
